MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PTM,3PTA,FTM,FTA
36,50.0,0.0,100.0,8,7,1,0,2,3,17,6,12,0,4,5,5
35,52.4,42.9,0.0,3,5,2,3,2,2,25,11,21,3,7,0,1
37,43.5,28.6,88.9,9,4,0,1,2,1,30,10,23,2,7,8,9
37,30.8,25.0,66.7,10,10,0,0,1,3,13,4,13,1,4,4,6
37,45.0,28.6,66.7,8,7,0,0,1,2,22,9,20,2,7,2,3
35,47.1,33.3,50.0,5,4,0,0,3,5,20,8,17,3,9,1,2
23,60.0,40.0,100.0,1,2,1,0,2,2,16,6,10,2,5,2,2
25,75.0,66.7,0.0,2,4,0,1,2,1,16,6,8,4,6,0,0
29,44.4,40.0,100.0,4,7,2,1,1,1,16,4,9,2,5,6,6
46,42.9,50.0,83.3,7,2,1,1,3,3,28,9,21,5,10,5,6
36,40.0,20.0,100.0,4,12,0,1,5,1,11,4,10,1,5,2,2
34,41.7,25.0,100.0,3,2,0,0,1,1,16,5,12,2,8,4,4
40,45.0,33.3,83.3,6,5,0,3,2,2,25,9,20,2,6,5,6
